Type,Average Path Length,Average Path Cost,Average Max Cost,Average Grid Squares Checked,Average Time (s),Completion percentage (%)
Basic Addition,826.51,0.8509803168763485,0.7493631692044437,50855.81,0.22649939999999996,100.0
Multiplication,988.61,0.823187153110623,0.7915924513409845,281977.33,1.1852786999999998,100.0
Exponent,1315.23,0.7547671480248597,0.8377875261055305,644595.41,3.0638427000000004,100.0
No Cost,826.51,0.9965068398537652,0.5417854255437851,80657.85,0.3109185000000001,100.0
